lab,loinc_code
%_MACROP,Not mapped
%ABI,Not mapped
%ABR,Not Mapped
%AGI,Not mapped
%AO,Not mapped
%AS,Not Mapped
%CM,Not Mapped
%CT,Not Mapped
%DBS,Not mapped
%DIG,Not mapped
%DU,Not mapped
%ELU,Not mapped
%PI,Not mapped
%ST,Not Mapped
%TS,Not Mapped
%UDIV,Not Mapped
%UN,Not Mapped
%UO,Not mapped
%XM,Not Mapped
100G13,1501-6
100G23,1514-9
100G33,1530-5
10SORQ,Not Mapped
11PTQ,Not Mapped
12C15,Not Mapped
1656CQ,Not Mapped
1ADMQ,Not Mapped
1APTTQ,Not Mapped
1BAD14,1924-0
1BAS14,1927-3
1CO214,2027-1
1COH14,2032-1
1HGB14,30350-3
1HIVQ,Not Mapped
1IGAQ,6886-6
1MEH14,2617-9
1METHQ,1651-9
1O2C14,19220-3
1O2H14,2711-0
1PCO14,2021-4
1PH14,2746-6
1PO214,2705-2
21HYDQ,17781-6
23VQ,29505-5
2422RQ,Not Mapped
24ALUQ,14592-0
24C23,Not Mapped
24CH16,Not Mapped
24CR14,2162-6
24CREA,2162-6
24CRQ,2162-6
24CX15,2162-6
24CX16,2162-6
24CZ15,Not Mapped
24CZ16,Not Mapped
24K14,2829-0
24M15,24447-5
24METQ,19049-6
24NA14,21527-7
24NORQ,2671-6
24OXQ,Not Mapped
24P23,Not Mapped
24PR14,21482-5
24SD15,2956-1
24SD16,2956-1
24SOQ,2956-1
24TMEQ,2609-6
24TP15,2889-4
24TP16,2889-4
24UC23,Not Mapped
24UCR3,2162-6
24UK15,2829-0
24UK16,2829-0
24UPR3,2889-4
24UVQ,3167-4
24V14,Not Mapped
25HVD,62292-8
25HVD2,49054-0
25HVD3,1989-3
25HVDT,62292-8
2622RQ,Not Mapped
2ADMQ,Not Mapped
2ETQ,29523-8
2HGQ,29502-2
2HIQ,29503-0
2HIVQ,Not Mapped
2HVQ,29504-8
2HYDQ,29500-6
2HYQ,29858-8
2IGAQ,6939-3
2M3Q,25082-9
2MEAQ,Not Mapped
2METQ,Not Mapped
2ODQ,25084-5
2OGQ,29507-1
2OXDQ,25083-7
2OXOQ,29506-3
2OXQ,25085-2
2SORQ,Not Mapped
2STYPQ,Not Mapped
30CRTQ,Not Mapped
30NCQ,31110-0
35NCQ,31109-2
3ADMQ,Not Mapped
3C12Q,30233-1
3C141Q,Not Mapped
3C14Q,30238-0
3C161Q,30235-6
3C16Q,Not Mapped
3C181Q,30312-3
3C18Q,30237-2
3C5Q,Not Mapped
3C6Q,30236-4
3HBQ,29509-7
3HGQ,29624-4
3HVQ,29514-7
3HYBQ,29511-3
3HYDQ,29508-9
3HYQ,29515-4
3HYVQ,29516-2
3HYXQ,Not Mapped
3MCQ,24436-8
3MEQ,29518-8
3METHQ,20635-9
3METQ,25087-8
3OHCOT,33916-8
3OHCQ,Not Mapped
3OHQ,26583-5
3SORQ,Not Mapped
3STYPQ,Not Mapped
40NCQ,31108-4
45NCQ,31107-6
48HR24,Not Mapped
4HPQ,25088-6
4HYBQ,Not Mapped
4HYDQ,29519-6
4HYQ,25088-6
4HYXQ,79178-0
4SORQ,Not Mapped
4STYPQ,Not Mapped
50G3,1504-0
50NCQ,31106-8
55NCQ,31105-0
5FLUQ,Not Mapped
5HIAAU,1695-6
5HIATV,Not Mapped
5HYQ,29521-2
5NUQ,1690-7
5OXQ,29522-0
60CRTQ,Not Mapped
60NCQ,23918-6
65NCQ,23920-2
6MORQ,12788-6
7ACQ,Not Mapped
85NCQ,31104-3
A1298C,Not Mapped
A13ABY,Not Mapped
A13ACT,53622-7
A13INH,Not Mapped
A1AA,Not Mapped
A1APA,Not Mapped
A1AQ,6771-0
A1AT,1825-9
A1C15,4548-4
A1C16,4548-4
A1C17,4548-4
A1C23,4548-4
A1C24,4548-4
A1C25,4548-4
A1C27,4548-4
A1C28,4548-4
A1CPEQ,13972-5
A1CQ,4548-4
A1LECT,Not Mapped
A2CPEQ,13975-8
AAAA,26600-7
AAAAQ,Not Mapped
AAAQ,28598-1
AABAQ,Not Mapped
AABQ,5041-9
AABUQ,Not Mapped
AABUT,20634-2
AAMPQ,19261-7
AAQ,29524-6
AATYL3,43743-4
AATYLY,43743-4
ABA14,30180-4
ABA17,704-7
ABA28,704-7
ABAA14,704-7
ABAA23,704-7
ABAC25,704-7
ABAN17,763-3
ABAN28,763-3
ABAND,763-3
ABAND3,763-3
ABAP23,30180-4
ABARQ,3377-9
ABAS15,704-7
ABAS16,704-7
ABAS17,704-7
ABAS21,704-7
ABAS24,704-7
ABAS25,704-7
ABAS26,704-7
ABAS28,704-7
ABASO,704-7
ABASO3,704-7
ABBS18,704-7
ABC24,704-7
ABCDQ,Not Mapped
ABENQ,14316-4
ABEO18,711-2
ABH12Q,42248-5
ABH22Q,42248-5
ABL15,30376-8
ABL16,30376-8
ABLAS3,30376-8
ABLAST,30376-8
ABLC24,30376-8
ABLCA,1994-3
ABLGLU,2339-0
ABLHCT,20570-8
ABLHGB,718-7
ABLK,6298-4
ABLM18,26474-7
ABLNA,2947-0
ABLS14,30376-8
ABLS25,30376-8
ABMN18,26484-6
ABND25,763-3
ABNQ,Not Mapped
ABNT18,751-8
ABO3,Not Mapped
ABOR25,34530-6
ABRB27,Not Mapped
ABRC18,60474-4
ABRH25,34530-6
ABSEOS,711-2
ABSO18,30180-4
ABUN18,3094-0
AC14,Not mapped
AC15,Not mapped
AC16,Not mapped
AC17,Not mapped
AC18,Not mapped
AC2Q,Not mapped
AC3025,Not mapped
AC6Q,Not mapped
ACA26,19072-8
ACAG2Q,Not mapped
ACAGAQ,Not mapped
ACAIGA,5076-5
ACAIGG,3181-5
ACAIGM,3182-3
ACAM2Q,3182-3
ACAN,7789-1
ACANQ,18282-4
ACCAR2,19074-4
ACCP,33935-8
ACDHEQ,Not mapped
ACE,2742-5
ACE2Q,1860-6
ACECSF,12480-0
ACEOMD,Not mapped
ACEQ,2742-5
ACET,Not mapped
ACET17,Not mapped
ACET23,3298-7
ACET24,Not mapped
ACET25,Not mapped
ACET28,Not mapped
ACET3,Not mapped
ACETA,Not mapped
ACETC2,30191-1
ACETQ,1705-3
ACFC2,40869-0
ACGNAB,42233-7
ACHRMM,Not mapped
ACHSQ,Not mapped
ACMAB,Not mapped
ACMT,Not mapped
ACMX15,3298-7
ACMX16,3298-7
ACOIST,11557-6
ACONQ,29525-3
ACORTQ,9813-7
ACPHN,3298-7
ACPHNQ,3298-7
ACPQ,Not mapped
ACR15,9318-7
ACR16,9318-7
ACRA24,Not mapped
ACRBAB,11034-6
ACRBIN,11034-6
ACRBLK,33278-3
ACRBQ,33278-3
ACRQ,11034-6
ACRX15,Not mapped
ACRX16,Not mapped
ACSFQ,Not mapped
ACT_RESU,3184-9
ACT025,Not mapped
ACT125,Not mapped
ACT15,Not mapped
ACT16,Not mapped
ACT17,3184-9
ACT24,Not mapped
ACT25,3184-9
ACT26,3184-9
ACT27,3184-9
ACT28,3184-9
ACTC,Not mapped
ACTC25,Not mapped
ACTCT,Not mapped
ACTH,2141-0
ACTHCORT,Not mapped
ACTHEX,27007-4
ACTIR,3184-9
ACTM,3298-7
ACTM14,3298-7
ACTM18,3298-7
ACTM25,3298-7
ACTM26,3298-7
ACTM27,3298-7
ACTM28,3298-7
ACTM3,3298-7
ACTO23,Not mapped
ACTO26,Not mapped
ACTO27,Not mapped
ACTONE,Not mapped
ACTONQ,9425-0
ACTOQN,Not mapped
ACTOR,Not mapped
ACTOSC,39529-3
ACTP14,Not mapped
ACTSFC,Not mapped
ACTSFL,3184-9
ACYIN2,50164-3
ACYLQT,Not mapped
AD23CR,Not mapped
ADAPQ,9404-5
ADAST,Not mapped
ADCTH,2141-0
ADCUQ,Not mapped
ADDAC,Not mapped
ADENMD,Not mapped
ADENO,Not mapped
ADENOQ,5041-9
ADENQV,61363-8
ADIQ,29859-6
ADN,Not mapped
ADNBAS,Not mapped
ADNFL,9404-5
ADNFT,Not mapped
ADNVIR,Not mapped
ADPEQ,Not mapped
ADPP,Not mapped
ADRENL,Not mapped
ADRQ,14232-3
ADRTQ,14232-3
ADVC,Not mapped
ADVQ,Not mapped
AEECI,Not mapped
AEO14,26450-7
AEO15,711-2
AEO16,26449-9
AEO17,711-2
AEO28,711-2
AEOA14,711-2
AEOA23,711-2
AEOC24,711-2
AEOC25,711-2
AEOP23,26450-7
AEOS,711-2
AEOS17,711-2
AEOS18,26450-7
AEOS21,711-2
AEOS24,711-2
AEOS25,711-2
AEOS26,711-2
AEOS28,711-2
AEOS3,711-2
AFACT,Not mapped
AFBSQ,11545-1
AFLA,47421-3
AFP,1834-1
AFP1Q,1834-1
AFPL3Q,42332-7
AFPNQ,53962-7
AFPPQ,53962-7
AFPT15,53962-7
AFPT24,53962-7
AFPTM,53962-7
AFPTQ,53962-7
AFUMI,9632-1
AG_RATIO,1759-0
AG23,1759-0
AG24,1759-0
AG25,1759-0
AGAI,41276-7
AGAI14,41276-7
AGAI28,41276-7
AGAP,33037-3
AGAP14,33037-3
AGAP15,33037-3
AGAP16,33037-3
AGAP17,33037-3
AGAP21,33037-3
AGAP24,33037-3
AGAP25,33037-3
AGAP26,33037-3
AGAP27,33037-3
AGAP28,33037-3
AGAP3,33037-3
AGE1Q,30525-0
AGNA1,53709-2
AGNAC1,53714-2
AGR15,1759-0
AGR16,1759-0
AGRA17,30394-1
AGRATE,Not mapped
AGRR26,1759-0
AGRT27,1759-0
AGRTOQ,1759-0
AHEX,27007-4
AIGGQ,Not mapped
AIMC24,34924-1
AIMM25,34924-1
AL125,2865-4
AL1P25,13978-2
AL225,2868-8
AL2P25,13981-6
AL3,5574-9
ALAC18,2518-9
ALACQ,7445-0
ALALTQ,6020-2
ALAN,20636-7
ALANQ,1738-4
ALB,1751-7
ALB%,13980-8
ALB14,1751-7
ALB15,1751-7
ALB16,1751-7
ALB17,1751-7
ALB18,1751-7
ALB21,1751-7
ALB23,1751-7
ALB24,1751-7
ALB25,1751-7
ALB26,1751-7
ALB27,1751-7
ALB28,1751-7
ALB3,1751-7
ALBCPQ,Not mapped
ALBCQ,Not mapped
ALBCRATI,9318-7
ALBE,2862-1
ALBE25,2862-1
ALBE26,2862-1
ALBP25,13980-8
ALBQ,1751-7
ALBR,1759-0
ALBRQ,Not mapped
ALBSQ,Not mapped
ALBU,1751-7
ALBUQ,Not mapped
ALC,5640-8
ALC15,5640-8
ALC16,5640-8
ALC24,5640-8
ALC25,5640-8
ALC26,5640-8
ALC28,5640-8
ALC3,5640-8
ALCH27,5640-8
ALCMQ,Not mapped
ALCO17,5640-8
ALCO18,74859-0
ALCOEQ,5639-0
ALCOIQ,5667-1
ALCOMQ,9334-4
ALCP27,74859-0
ALCQ,Not mapped
ALCR14,9318-7
ALCR26,9318-7
ALDERQ,1763-2
ALDLAS,1761-6
ALDO,1761-6
ALDOST,1763-2
ALDPRQ,30894-0
ALDQ,1763-2
ALEUQ,5645-7
ALIC18,35164-3
ALIPOQ,Not mapped
ALIUQ,9434-2
ALK23,6768-6
ALKP,6768-6
ALKP14,6768-6
ALKP15,6768-6
ALKP16,6768-6
ALKP17,6768-6
ALKP24,6768-6
ALKP25,6768-6
ALKP26,6768-6
ALKP27,6768-6
ALKP28,6768-6
ALKP3,6768-6
ALKPHISO,6768-6
ALKPISOI,15014-4
ALKPISOP,15014-4
ALLA27,35503-2
ALLN23,35503-2
ALLT27,Not mapped
ALLV27,Not mapped
